epoch 2, iteration 19:	running loss = 0.182	validation loss = 0.221
epoch 2, iteration 29:	running loss = 0.170	validation loss = 0.225
epoch 2, iteration 39:	running loss = 0.155	validation loss = 0.232
epoch 2, iteration 49:	running loss = 0.135	validation loss = 0.240
epoch 2, iteration 59:	running loss = 0.203	validation loss = 0.247
epoch 2, iteration 69:	running loss = 0.193	validation loss = 0.236
epoch 2, iteration 79:	running loss = 0.179	validation loss = 0.233
epoch 2, iteration 89:	running loss = 0.264	validation loss = 0.241
epoch 2, iteration 99:	running loss = 0.268	validation loss = 0.249
epoch 2, iteration 109:	running loss = 0.263	validation loss = 0.241
epoch 2, iteration 119:	running loss = 0.249	validation loss = 0.228
epoch 2, iteration 129:	running loss = 0.230	validation loss = 0.226
epoch 2, iteration 139:	running loss = 0.229	validation loss = 0.225
epoch 2, iteration 149:	running loss = 0.224	validation loss = 0.224
epoch 2, iteration 159:	running loss = 0.210	validation loss = 0.222
epoch 2, iteration 169:	running loss = 0.205	validation loss = 0.222
epoch 2, iteration 179:	running loss = 0.193	validation loss = 0.219
epoch 2, iteration 189:	running loss = 0.185	validation loss = 0.231
epoch 2, iteration 199:	running loss = 0.180	validation loss = 0.228
epoch 2, iteration 209:	running loss = 0.171	validation loss = 0.223
epoch 2, iteration 219:	running loss = 0.235	validation loss = 0.224
epoch 2, iteration 229:	running loss = 0.229	validation loss = 0.264
epoch 2, iteration 239:	running loss = 0.232	validation loss = 0.271
epoch 2, iteration 249:	running loss = 0.227	validation loss = 0.265
epoch 2, iteration 259:	running loss = 0.235	validation loss = 0.258
epoch 2, iteration 269:	running loss = 0.265	validation loss = 0.253
epoch 2, iteration 279:	running loss = 0.274	validation loss = 0.248
epoch 2, iteration 289:	running loss = 0.274	validation loss = 0.240
epoch 2, iteration 299:	running loss = 0.286	validation loss = 0.242
epoch 2, iteration 309:	running loss = 0.279	validation loss = 0.243
epoch 2, iteration 319:	running loss = 0.274	validation loss = 0.239
epoch 2, iteration 329:	running loss = 0.282	validation loss = 0.235
epoch 2, iteration 339:	running loss = 0.299	validation loss = 0.245
epoch 2, iteration 349:	running loss = 0.302	validation loss = 0.255
epoch 2, iteration 359:	running loss = 0.294	validation loss = 0.258
epoch 2, iteration 369:	running loss = 0.300	validation loss = 0.251
